barcode_01	219	93	567	966
barcode_02	0	219	715	683
barcode_03	308	307	484	802
barcode_04	116	301	640	500
barcode_05	195	137	401	682
barcode_06	850	633	2036	1206
barcode_07	349	195	898	430
barcode_08	898	1048	1260	2119
barcode_09	851	2418	1847	3647
barcode_10	381	441	937	1893
barcode_11	200	141	469	843
barcode_12	192	199	897	468
barcode_13	680	722	1333	2151
barcode_14	104	209	821	482
barcode_15	868	1483	1958	2079
barcode_16	249	154	776	442
barcode_17	1041	834	1414	2075
barcode_18	208	119	453	822
barcode_19	114	209	918	453
barcode_20	308	833	1373	2072
barcode_21	82	126	625	750
barcode_22	282	82	911	646
barcode_23	181	248	825	556
barcode_24	428	441	866	1501
barcode_25	232	346	1252	680
barcode_26	252	273	906	494
barcode_27	428	100	893	1197
barcode_28	76	149	686	569
barcode_29	371	1019	1148	2031
barcode_30	414	494	992	1536
barcode_31	330	80	588	833
barcode_32	207	330	782	569
barcode_33	630	754	1678	1306
barcode_34	452	316	1343	638
barcode_35	844	794	1804	1156
barcode_36	758	483	1804	863
barcode_37	808	605	2019	1200
barcode_38	983	738	1577	3358
barcode_39	402	49	607	961
barcode_40	68	400	1024	608
barcode_41	670	743	1826	1224
barcode_42	645	683	1615	1033
barcode_43	1174	851	2317	1411
barcode_44	796	712	2297	1315
barcode_45	651	306	1649	1037
barcode_46	674	528	1885	981
barcode_47	701	518	1927	962
barcode_48	669	758	1746	1260
barcode_49	1183	1337	2537	1963
barcode_50	1047	1236	2435	1718
barcode_51	1755	1364	2833	1856
barcode_52	574	618	1623	970
barcode_53	814	842	1244	1853
barcode_54	1240	2182	1721	3279
barcode_55	992	750	2267	1259
barcode_56	472	980	1672	1540
barcode_57	847	741	1953	1520
barcode_58	517	561	1732	967
barcode_59	917	739	2239	1241
barcode_60	918	573	2295	1396
barcode_61	545	511	1749	1046
barcode_62	740	458	1501	1879
barcode_63	767	556	2231	1199
barcode_64	591	1254	1268	2672
barcode_65	288	340	655	1172
barcode_66	0	437	768	658
barcode_67	0	575	1884	2364
barcode_68	0	707	725	981
barcode_69	0	929	694	1302
barcode_70	746	436	1128	632
barcode_71	0	367	1740	2152
barcode_72	418	0	1992	1672
barcode_73	743	561	1816	1051
